nombre,deporte,edad,peso_kg,altura_cm,frecuencia_cardiaca_bpm,horas_entrenamiento_semana,rendimiento_score,posicion
Daniela Vargas,Natación,39.0,59.2,162.0,87.0,6.2,8.13,Atacante
Roberto Castillo,Natación,45.0,69.4,30.0,87.0,4.9,8.1,CORREDOR
Alejandro Núñez,Voleibol,32.0,66.8,195.0,57.0,13.3,5.552869109947644,nadador
Luis Parra,Natación,20.0,55.1,198.0,66.0,24.6,1.27,CORREDOR
Roberto Castillo,Fútbol,24.0,58.4,195.0,47.0,17.1,5.31,defensa
Alicia Campos,Natación,28.0,98.4,183.0,74.0,17.4,6.6,CICLISTA
Roxana Salinas,Rugby,150.0,99.9,170.0,90.0,5.4,5.552869109947644,defensa 
Enrique Valenzuela,Rugby,41.0,69.0,192.0,300.0,23.2,7.84,CORREDOR
Pedro Rodríguez,Ciclismo,44.0,79.1,166.0,67.0,5.0,9.79,NADADOR
Claudia Herrera,Rugby,36.0,88.2,185.0,73.0,19.7,6.54,Atacante
Marcela Varela,Rugby,16.0,86.1,177.0,86.0,22.7,3.03,Ciclista
Verónica Aguilar,Natación,27.0,103.9,170.0,89.0,3.3,6.51,corredor
Eduardo Soto,Atletismo,24.0,56.5,194.0,54.0,23.4,1.56,Nadador
Matías Silva,Voleibol,38.0,88.0,202.0,71.0,16.9,3.25,Mediocampista
Pedro Rodríguez,Natación,32.0,92.5,194.0,54.0,10.7,7.18,defensa
César Sepúlveda,Baloncesto,27.0,76.0,179.5617088607595,71.0,23.0,6.59,
Verónica Aguilar,Rugby,36.0,80.3,200.0,67.0,16.0,8.95,CORREDOR
Roberto Castillo,Ciclismo,38.0,60.2,186.0,10.0,5.9,1.15,defensa
Valentina Ramírez,Fútbol,34.0,95.3,179.5617088607595,61.0,19.9,6.38,defensa 
Enrique Valenzuela,Fútbol,21.0,91.3,187.0,78.0,10.2,8.31,delantero 
Tomás Gutiérrez,Fútbol,39.0,58.2,186.0,47.0,17.5,9.99,
Patricio Bravo,Tenis,26.0,94.9,175.0,57.0,13.7,5.42,ATACANTE
Héctor Suárez,Voleibol,19.0,92.7,181.0,54.0,0.1,9.94,Defensa
Héctor Suárez,Fútbol,23.0,59.4,172.0,64.0,13.2,4.49,mediocampista
Marcela Varela,Voleibol,17.0,66.4,162.0,73.0,19.9,7.92,Atacante
Catalina Mora,Fútbol,18.0,89.8,188.0,81.0,5.1,7.05,MEDIOCAMPISTA
Francisca Lagos,Baloncesto,43.0,91.4,170.0,45.0,7.3,9.24,NADADOR
Ana Martínez,Fútbol,25.0,103.2,158.0,55.0,6.2,3.26,NADADOR
Gonzalo Fuentes,Fútbol,37.0,97.1,167.0,79.0,16.9,7.25,defensa 
Juan López,Ciclismo,22.0,70.9,198.0,51.0,14.1,4.74,delantero
Héctor Suárez,Natación,25.0,75.4,173.0,56.0,5.4,4.74,Atacante
Catalina Mora,Ciclismo,38.0,98.0,165.0,55.0,15.6,1.96,Corredor
Marcela Varela,Fútbol,24.0,79.8,162.0,46.0,4.8,8.99,ciclista
Roxana Salinas,Fútbol,40.0,57.0,179.0,74.0,5.7,6.7,corredor
Gonzalo Fuentes,Ciclismo,38.0,68.3,166.0,71.0,6.4,9.37,atacante
Paola Romero,Tenis,26.0,74.2,199.0,69.50026329647183,11.6,4.16,ciclista
Mauricio Vega,Baloncesto,36.0,74.7,195.0,64.0,3.1,8.22,Defensa
Felipe Muñoz,Rugby,39.0,79.4,199.0,52.0,7.9,4.82,
Daniela Vargas,Voleibol,38.0,97.9,197.0,57.0,11.2,6.51,DEFENSA
Manuel Leal,Baloncesto,41.0,77.2,195.0,50.0,20.8,8.77,Ciclista
Isabella Castro,Ciclismo,38.0,78.3,179.5617088607595,63.0,7.7,2.09,corredor
Natalia Cruz,Ciclismo,45.0,76.6,200.0,50.0,4.6,7.62,ciclista
Valentina Ramírez,Voleibol,4.0,55.1,200.0,49.0,20.3,5.552869109947644,
Alicia Campos,Natación,32.0,69.5,177.0,51.0,5.7,1.51,defensa
Enrique Valenzuela,Voleibol,34.0,96.9,186.0,75.0,17.9,5.31,nadador
Sofía Hernández,Baloncesto,22.0,58.6,179.5617088607595,86.0,19.2,4.15,CORREDOR
Daniela Vargas,Rugby,23.0,68.2,188.0,89.0,7.2,2.08,mediocampista
Ignacio Peña,Baloncesto,17.0,95.8,186.0,68.0,15.4,5.552869109947644,delantero
Juan López,Ciclismo,21.0,86.1,185.0,52.0,3.9,3.43,ciclista
Verónica Aguilar,Ciclismo,28.0,56.2,191.0,90.0,3.7,5.552869109947644,DEFENSA
Felipe Muñoz,Natación,28.0,102.4,192.0,90.0,24.3,8.2,Atacante
Tomás Gutiérrez,Natación,20.0,58.0,200.0,57.0,11.1,2.86,ciclista
César Sepúlveda,Fútbol,30.0,55.2,175.0,48.0,4.4,3.86,Portero
Claudia Herrera,Baloncesto,40.0,59.9,200.0,64.0,4.4,3.94,Nadador
Lorena Mendoza,Voleibol,40.0,83.9,170.0,73.0,6.5,1.92,Corredor
Enrique Valenzuela,Baloncesto,45.0,88.0,175.0,53.0,19.9,3.5,ATACANTE
Roxana Salinas,Ciclismo,20.0,75.0,185.0,67.0,15.9,4.32,PORTERO
Paola Romero,Rugby,33.0,78.7,184.0,89.0,8.8,3.05,delantero
Rodrigo Sandoval,Atletismo,22.0,62.6,177.0,45.0,20.3,4.62,nadador
Natalia Cruz,Atletismo,32.0,101.3,190.0,73.0,17.3,4.62,CORREDOR
Luis Parra,Baloncesto,45.0,68.7,198.0,88.0,21.7,3.12,Ciclista
María González,Fútbol,35.0,55.6,193.0,81.0,6.7,2.5,Portero
Enrique Valenzuela,Tenis,31.12930135557873,100.9,196.0,72.0,9.0,5.24,portero
Luis Parra,Natación,20.0,80.5,160.0,66.0,17.6,2.58,DELANTERO
Rodrigo Sandoval,Boxeo,45.0,79.8,159.0,5.0,3.7,6.6,
Paola Romero,Boxeo,17.0,59.9,200.0,79.0,6.4,4.67,Portero
Verónica Aguilar,Atletismo,44.0,102.3,202.0,72.0,20.4,20.0,Defensa
Alicia Campos,Rugby,22.0,84.2,166.0,59.0,17.6,7.31,
Pilar Contreras,Voleibol,37.0,88.0,180.0,78.0,9.9,5.552869109947644,CORREDOR
Roxana Salinas,Ciclismo,33.0,97.3,199.0,80.0,19.7,7.89,delantero
Gabriela Morales,Natación,45.0,56.3,174.0,69.0,9.3,1.26,ciclista
Pilar Contreras,Atletismo,35.0,104.6,191.0,69.0,8.5,6.66,ATACANTE
Sebastián Rojas,Baloncesto,44.0,56.8,200.0,56.0,7.7,3.3,atacante
Camila Díaz,Natación,35.0,97.7,173.0,80.0,24.1,2.94,Nadador
Ricardo Álvarez,Baloncesto,4.0,82.8,162.0,74.0,8.0,5.8,CICLISTA
Matías Silva,Fútbol,44.0,60.8,178.0,58.0,19.2,5.68,CORREDOR
Francisca Lagos,Fútbol,34.0,66.6,162.0,63.0,3.8,1.33,
Gabriela Morales,Tenis,33.0,57.0,182.0,57.0,10.4,5.41,atacante
Enrique Valenzuela,Natación,45.0,94.5,187.0,51.0,14.8,6.74,
Daniela Vargas,Voleibol,42.0,77.6,179.5617088607595,69.0,12.1,5.89,ciclista
Lorena Mendoza,Voleibol,40.0,83.9,170.0,73.0,6.5,1.92,Corredor
Eduardo Soto,Rugby,18.0,72.0,160.0,51.0,24.8,15.0,Ciclista
Marcela Varela,Tenis,43.0,94.6,168.0,77.0,17.7,9.68,ATACANTE
Pilar Contreras,Boxeo,38.0,82.9,190.0,46.0,10.5,2.63,defensa 
Natalia Cruz,Rugby,16.0,86.5,196.0,84.0,5.9,1.34,CORREDOR
Manuel Leal,Boxeo,37.0,94.4,196.0,69.50026329647183,23.1,4.62,Delantero
Claudia Herrera,Tenis,35.0,78.0,179.5617088607595,90.0,3.0,4.35,Nadador
Eduardo Soto,Natación,29.0,55.5,164.0,81.0,13.2,1.31,Nadador
Fernanda Jiménez,Tenis,29.0,95.8,183.0,50.0,23.5,2.24,portero
Carlos Pérez,Fútbol,39.0,96.2,165.0,69.50026329647183,23.6,6.35,Nadador
Sofía Hernández,Fútbol,32.0,76.3,176.0,76.0,20.8,-5.0,atacante
Fernanda Jiménez,Fútbol,23.0,70.2,161.0,69.50026329647183,16.4,5.34,mediocampista
Francisca Lagos,Tenis,21.0,89.8,169.0,57.0,10.1,7.6,DELANTERO
Verónica Aguilar,Rugby,39.0,90.9,165.0,48.0,12.7,9.62,MEDIOCAMPISTA
Mauricio Vega,Tenis,31.12930135557873,72.9,180.0,46.0,18.8,1.59,atacante
Patricio Bravo,Natación,4.0,71.8,185.0,51.0,22.9,9.79,atacante
Fernanda Jiménez,Fútbol,19.0,68.6,199.0,53.0,23.7,8.22,ciclista
Andrés Flores,Baloncesto,32.0,62.8,170.0,63.0,10.8,9.7,delantero 
Pilar Contreras,Rugby,24.0,83.7,187.0,77.0,3.5,3.22,mediocampista
Matías Silva,Natación,21.0,96.4,200.0,68.0,15.0,1.08,atacante
Lorena Mendoza,Boxeo,45.0,89.3,178.0,84.0,3.0,7.87,mediocampista
Marcela Varela,Baloncesto,37.0,72.4,160.0,67.0,15.0,9.06,Nadador
Pilar Contreras,Atletismo,19.0,89.9,176.0,67.0,19.6,5.32,Mediocampista
Valentina Ramírez,Tenis,27.0,92.5,201.0,78.0,6.4,3.19,DELANTERO
Pedro Rodríguez,Atletismo,24.0,72.2,193.0,51.0,11.4,5.552869109947644,DEFENSA
Cristian Medina,Boxeo,41.0,82.0,175.0,87.0,12.5,8.81,
Javiera Espinoza,Tenis,36.0,64.0,172.0,49.0,20.5,7.71,ciclista
Cristian Medina,Baloncesto,25.0,86.2,200.0,48.0,20.0,1.67,Ciclista
Enrique Valenzuela,Fútbol,25.0,63.4,173.0,58.0,8.0,3.6,DEFENSA
María González,Natación,18.0,58.6,172.0,50.0,10.0,4.36,defensa
Roberto Castillo,Voleibol,24.0,94.7,170.0,63.0,17.5,3.57,atacante
Matías Silva,Ciclismo,33.0,102.0,199.0,83.0,7.9,7.78,Defensa
Gonzalo Fuentes,Voleibol,38.0,60.9,177.0,50.0,5.5,2.77,delantero
Sebastián Rojas,Natación,27.0,79.7,174.0,65.0,14.6,1.45,
Pilar Contreras,Fútbol,20.0,55.7,159.0,58.0,8.7,7.29,Delantero
Juan López,Atletismo,38.0,92.4,183.0,72.0,9.4,8.49,PORTERO
Patricia Ramos,Rugby,36.0,64.1,179.0,71.0,3.4,6.85,atacante
Marisol Figueroa,Natación,44.0,102.0,161.0,82.0,17.0,1.08,delantero 
Andrés Flores,Fútbol,31.0,82.1,191.0,90.0,8.5,2.14,delantero
Sebastián Rojas,Natación,44.0,55.2,194.0,82.0,20.6,2.31,nadador
Isabella Castro,Baloncesto,39.0,89.2,186.0,69.0,16.9,9.44,
César Sepúlveda,Rugby,40.0,91.3,165.0,77.0,4.8,2.53,ATACANTE
Nicolás Reyes,Fútbol,31.0,78.8,188.0,64.0,9.6,6.87,DEFENSA
Roberto Castillo,Natación,41.0,76.5,175.0,56.0,21.5,5.09,Corredor
Sebastián Rojas,Tenis,16.0,85.9,187.0,65.0,7.7,1.66,Corredor
Daniela Vargas,Voleibol,36.0,103.9,194.0,56.0,19.9,1.36,delantero
Eduardo Soto,Baloncesto,16.0,99.1,158.0,74.0,23.2,2.41,DELANTERO
Cristian Medina,Natación,35.0,80.0,173.0,76.0,10.6,9.8,NADADOR
Ricardo Álvarez,Baloncesto,17.0,99.2,179.5617088607595,78.0,4.0,2.64,Delantero
Daniela Vargas,Rugby,20.0,56.2,160.0,79.0,9.1,5.81,Delantero
Isabella Castro,Boxeo,17.0,72.3,280.0,46.0,19.7,1.27,Defensa
Mauricio Vega,Tenis,22.0,88.8,179.5617088607595,57.0,19.0,3.1,MEDIOCAMPISTA
Carolina Ríos,Baloncesto,32.0,61.5,194.0,61.0,16.8,7.2,
Fernanda Jiménez,Voleibol,38.0,87.6,191.0,68.0,4.3,1.27,nadador
Isabella Castro,Tenis,21.0,70.8,188.0,67.0,0.1,1.75,ATACANTE
Juan López,Baloncesto,43.0,64.2,160.0,78.0,22.0,5.552869109947644,DELANTERO
Roberto Castillo,Tenis,200.0,94.3,201.0,69.0,6.4,7.93,corredor
Enrique Valenzuela,Atletismo,40.0,104.6,198.0,73.0,6.0,5.29,DEFENSA
Andrés Flores,Baloncesto,19.0,82.7,168.0,76.0,17.9,6.31,Defensa
Mónica Ortega,Natación,23.0,99.6,280.0,69.0,21.6,8.99,
Sebastián Rojas,Tenis,26.0,83.6,169.0,77.0,6.7,5.77,defensa 
Fernanda Jiménez,Tenis,40.0,77.2,172.0,45.0,10.1,6.67,CICLISTA
Marcela Varela,Atletismo,23.0,89.8,184.0,65.0,19.4,4.99,defensa 
Alejandro Núñez,Natación,36.0,94.3,192.0,88.0,8.7,4.79,Defensa
Camila Díaz,Natación,18.0,91.4,166.0,77.0,19.4,1.46,
Javiera Espinoza,Fútbol,21.0,65.4,189.0,89.0,20.7,8.54,DELANTERO
Enrique Valenzuela,Tenis,37.0,94.6,162.0,85.0,14.9,8.54,corredor
Eduardo Soto,Tenis,23.0,73.6,180.0,75.0,11.0,5.55,MEDIOCAMPISTA
Fernanda Jiménez,Voleibol,34.0,81.2,191.0,58.0,18.8,8.46,Delantero
Carlos Pérez,Voleibol,27.0,56.5,187.0,71.0,13.2,8.83,Mediocampista
Cristian Medina,Natación,24.0,80.1,174.0,78.0,12.3,2.93,
César Sepúlveda,Tenis,32.0,58.0,177.0,72.0,9.7,4.09,portero
Matías Silva,Voleibol,23.0,78.8,177.0,55.0,23.1,1.24,Defensa
Diego Torres,Natación,20.0,100.3,178.0,75.0,19.8,1.94,nadador
Juan López,Natación,31.12930135557873,68.2,169.0,69.50026329647183,3.5,3.36,Mediocampista
Verónica Aguilar,Tenis,22.0,67.7,166.0,70.0,16.4,5.552869109947644,Portero
Nicolás Reyes,Ciclismo,39.0,77.6,174.0,53.0,8.1,1.6,ciclista
Héctor Suárez,Baloncesto,29.0,98.7,184.0,86.0,19.5,2.76,NADADOR
Catalina Mora,Natación,40.0,93.0,179.5617088607595,60.0,14.6,1.04,Defensa
Felipe Muñoz,Natación,20.0,57.6,184.0,53.0,12.8,4.79,mediocampista
Francisca Lagos,Voleibol,21.0,64.3,167.0,65.0,7.7,1.6,portero
Ignacio Peña,Rugby,30.0,61.7,185.0,77.0,18.2,6.92,CORREDOR
Enrique Valenzuela,Fútbol,23.0,73.6,186.0,71.0,15.9,1.18,Portero
Carolina Ríos,Natación,23.0,77.5,165.0,82.0,16.4,8.32,ATACANTE
Pedro Rodríguez,Voleibol,37.0,75.1,185.0,89.0,20.9,2.81,Portero
Ignacio Peña,Tenis,29.0,77.4,164.0,82.0,13.7,9.98,ATACANTE
Paola Romero,Atletismo,31.0,98.0,158.0,84.0,11.9,4.11,Mediocampista
Francisca Lagos,Natación,43.0,77.9,177.0,46.0,24.7,8.19,nadador
Paola Romero,Natación,31.0,84.8,182.0,68.0,12.9,4.69,CORREDOR
Felipe Muñoz,Tenis,20.0,85.6,179.5617088607595,5.0,16.1,5.28,Defensa
Mauricio Vega,Fútbol,38.0,64.5,196.0,65.0,4.5,-5.0,Defensa
César Sepúlveda,Natación,28.0,97.5,280.0,78.0,6.7,3.83,Mediocampista
Camila Díaz,Tenis,26.0,69.1,173.0,57.0,24.7,5.57,delantero
Matías Silva,Atletismo,28.0,62.9,164.0,68.0,16.6,2.07,ciclista
Pedro Rodríguez,Atletismo,18.0,81.9,199.0,62.0,9.0,5.51,NADADOR
Roxana Salinas,Atletismo,44.0,94.8,200.0,52.0,3.3,9.43,CORREDOR
Sofía Hernández,Fútbol,44.0,79.0,202.0,55.0,23.0,2.7,corredor
Lorena Mendoza,Tenis,3.0,79.6,202.0,62.0,8.4,6.29,PORTERO
Lorena Mendoza,Rugby,38.0,90.4,198.0,88.0,12.4,2.06,CORREDOR
Patricio Bravo,Fútbol,28.0,75.8,181.0,85.0,22.8,4.78,NADADOR
Camila Díaz,Fútbol,39.0,75.4,161.0,58.0,22.6,6.48,PORTERO
Gonzalo Fuentes,Fútbol,3.0,97.6,186.0,75.0,18.2,1.93,portero
Ignacio Peña,Ciclismo,25.0,84.4,176.0,78.0,24.9,2.7,ATACANTE
Felipe Muñoz,Atletismo,20.0,61.8,171.0,10.0,13.3,4.85,Nadador
Alicia Campos,Natación,16.0,88.6,194.0,52.0,21.8,2.85,CORREDOR
Pedro Rodríguez,Fútbol,41.0,68.6,178.0,62.0,8.9,3.39,CORREDOR
Enrique Valenzuela,Natación,43.0,73.8,179.0,48.0,8.6,9.11,Ciclista
Alicia Campos,Voleibol,22.0,65.9,190.0,51.0,12.3,9.86,
César Sepúlveda,Voleibol,24.0,64.5,191.0,60.0,13.2,6.71,DEFENSA
Héctor Suárez,Natación,33.0,71.7,164.0,5.0,19.2,4.67,ciclista
Alejandro Núñez,Natación,25.0,62.2,167.0,56.0,10.2,6.01,defensa
Patricia Ramos,Ciclismo,44.0,78.3,184.0,54.0,9.5,6.88,MEDIOCAMPISTA
Claudia Herrera,Voleibol,26.0,76.5,183.0,81.0,11.6,2.43,defensa 
Alicia Campos,Ciclismo,37.0,67.6,160.0,64.0,4.9,2.52,
Mónica Ortega,Natación,36.0,62.4,179.5617088607595,72.0,13.9,5.12,delantero 
Ignacio Peña,Baloncesto,30.0,84.6,189.0,89.0,15.2,5.66,DEFENSA
Natalia Cruz,Baloncesto,31.0,99.3,176.0,82.0,22.5,3.28,Mediocampista
Diego Torres,Atletismo,31.0,104.5,163.0,68.0,4.4,3.67,Nadador
Gonzalo Fuentes,Ciclismo,20.0,67.7,171.0,48.0,8.3,1.24,delantero
Diego Torres,Atletismo,22.0,89.5,202.0,74.0,5.9,2.25,Nadador
Pilar Contreras,Rugby,29.0,76.7,30.0,54.0,6.6,7.44,ATACANTE
Luis Parra,Voleibol,23.0,91.8,161.0,64.0,6.7,9.13,Nadador
Natalia Cruz,Fútbol,33.0,67.7,181.0,57.0,16.3,6.29,ciclista
Andrés Flores,Atletismo,27.0,89.6,169.0,69.50026329647183,11.9,8.67,delantero 
